VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2019,12.964840752,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2020,12.718733056,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2019,0.921040805,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2020,0.946825545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2019,0.391666667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2020,0.391666667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2019,0.000480769,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2020,0.000480769,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2019,1.832245876,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2020,1.836300021,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2019,0.072037915,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2020,0.072037915,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2019,11.854669465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2020,11.854669465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2019,21.282051282,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2020,22.051282051,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2019,0.326996198,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2020,0.296577947,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2019,0.713097219,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2020,0.713097219,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2019,8.567725211,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2020,8.567725211,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2019,0.005604053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2020,0.005604053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2019,8.443483333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2020,8.788933333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2019,1,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2020,1,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2019,0.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2020,0.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2019,32.182978723,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2020,32.182978723,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern Asia,2019,12.972544447,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern Asia,2020,12.765556366,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern and South-Eastern Asia,2019,10.362950392,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eastern and South-Eastern Asia,2020,10.279348979,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2019,1.825497287,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2020,1.825497287,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2019,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2020,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2019,1.641431759,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2020,1.36958558,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2019,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2020,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2019,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2020,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2019,0.03795096,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2020,0.037925652,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2019,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2020,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2019,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2020,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe,2019,1.268111273,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe,2020,1.261179218,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe and Northern America,2019,2.138480053,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Europe and Northern America,2020,2.134709616,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2019,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2020,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2019,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2020,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2019,1.508674741,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2020,1.630474938,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2019,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2020,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2019,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2020,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2019,0.933207011,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2020,1.117748302,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2019,0.697838312,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2020,0.697838312,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2019,1.903914591,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ghana,2020,1.903914591,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2019,11.852339181,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Greece,2020,11.852339181,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2019,1.05,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Grenada,2020,1.05,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2019,1.47447424,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guatemala,2020,1.47447424,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2019,0.265486726,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea,2020,0.265486726,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2019,0.458598726,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guinea-Bissau,2020,0.458598726,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2019,0.502952029,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Guyana,2020,0.502952029,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2019,8.622165169,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Haiti,2020,8.622165169,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2019,1.27815633,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Honduras,2020,1.27815633,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2019,0.467163214,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Hungary,2020,0.526634615,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2019,0.000176471,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iceland,2020,0.000176471,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2019,36.003977183,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,India,2020,36.003977183,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2019,9.397136771,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Indonesia,2020,9.397136771,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2019,62.753110292,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iran (Islamic Republic of),2020,62.753110292,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2019,49.221010461,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Iraq,2020,36.375472958,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2019,0.067884615,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ireland,2020,0.072884615,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2019,66.91011236,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Israel,2020,67.134831461,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2019,8.886565604,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Italy,2020,8.886565604,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2019,1.043974276,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jamaica,2020,1.040861571,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2019,12.395348837,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Japan,2020,12.372093023,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2019,60.897545358,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Jordan,2020,60.897545358,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2019,14.565077022,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kazakhstan,2020,14.205331612,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2019,10.534201954,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kenya,2020,10.534201954,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2019,3892,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kuwait,2020,3892,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2019,30.061817258,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Kyrgyzstan,2020,30.061817258,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Land Locked Developing Countries,2019,6.329560392,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Land Locked Developing Countries,2020,6.221366668,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2019,2.113943029,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lao People's Democratic Republic,2020,2.113943029,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latin America and the Caribbean,2019,1.99316136,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latin America and the Caribbean,2020,1.990265959,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2019,0.152077848,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Latvia,2020,0.158345736,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Least Developed Countries,2019,2.963525906,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Least Developed Countries,2020,2.963534125,%,E,True
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lebanon,2019,15.545192094,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lebanon,2020,15.545192094,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lesotho,2019,0.12574454,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lesotho,2020,0.12574454,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Liberia,2019,0.005301724,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Liberia,2020,0.005301724,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Libya,2019,692.857142857,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Libya,2020,692.857142857,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lithuania,2019,0.23322449,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Lithuania,2020,0.23322449,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Luxembourg,2019,0.017142857,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Luxembourg,2020,0,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Madagascar,2019,3.857566766,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Madagascar,2020,3.857566766,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malawi,2019,6.747685185,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malawi,2020,6.747685185,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malaysia,2019,0.431896552,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malaysia,2020,0.431896552,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Maldives,2019,0.295304333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Maldives,2020,0.594642667,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mali,2019,4.229166667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mali,2020,4.229166667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malta,2019,45.445961584,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Malta,2020,47.450054653,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritania,2019,10.728070175,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritania,2020,10.728070175,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritius,2019,10.941475827,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mauritius,2020,11.086877499,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mexico,2019,14.645541776,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mexico,2020,14.683862755,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mongolia,2019,0.720977012,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mongolia,2020,0.720977012,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Morocco,2019,31.572413793,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Morocco,2020,31.572413793,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mozambique,2019,0.495624136,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Mozambique,2020,0.495624136,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Myanmar,2019,2.532111663,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Myanmar,2020,2.532111663,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Namibia,2019,0.503633175,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Namibia,2020,0.503633175,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nepal,2019,4.433872502,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nepal,2020,4.433872502,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Netherlands (Kingdom of the),2019,0.278461538,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Netherlands (Kingdom of the),2020,0.337582418,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,New Zealand,2019,0.980733945,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,New Zealand,2020,0.980733945,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Nicaragua,2019,0.658886458,%,E,False
